WirtEinh,EQ_übergeordnet,Equipment,EQ-Bezeichnung,EQ-Klasse,EQ-Klasse-Bezeichnung,Gewerk,Anlagenausprägung,EQ-Menge,EQ-Merkmal_001,EQ-Merkmal_002,EQ-Merkmal_003,EQ-Merkmal_004,EQ-Merkmal_005,EQ-Merkmal_006,EQ-Merkmal_007,EQ-Merkmal_008,EQ-Merkmal_009,EQ-Merkmal_010,EQ-Merkmal_011,EQ-Merkmal_012,EQ-Merkmal_013,EQ-Merkmal_014,EQ-Merkmal_015,EQ-Merkmal_016,EQ-Merkmal_017,EQ-Merkmal_018,EQ-Merkmal_019,EQ-Merkmal_020,EQ-Merkmal_021,EQ-Merkmal_022,EQ-Merkmal_023,EQ-Merkmal_024,EQ-Merkmal_025,EQ-Merkmal_026,EQ-Merkmal_027,EQ-Merkmal_028,EQ-Merkmal_029,EQ-Merkmal_030,EQ-Merkmal_031,EQ-Merkmal_032,EQ-Merkmal_033,EQ-Merkmal_034,EQ-Merkmal_035,EQ-Merkmal_036,EQ-Merkmal_037,EQ-Merkmal_038,EQ-Merkmal_039,EQ-Merkmal_040,EQ-Merkmal_041,EQ-Merkmal_042,EQ-Merkmal_043,EQ-Merkmal_044,EQ-Merkmal_045,EQ-Merkmal_046,EQ-Merkmal_047,EQ-Merkmal_048,EQ-Merkmal_049,EQ-Merkmal_050,EQ-Merkmal_051,EQ-Merkmal_052
30009,,1000483142,"Blitzschutz, Erdung, Pot.",3330,Blitzschutz-/Erdungsanlage,Elektro,Blitzschutz/Erdung Gebäude,1,Ableiter Anzahl aussen: 4,,Blitzschutzklasse: III (ehemals mittel),Bruttogeschossfläche Gebäude: bis 200 m²,Gebäudeart: Technikgebäude,"Sonderbau-Prüfungen: Nein, keine",,Kostengruppe DIN 276-1: 446,Bezeichn. Kostengr. DIN 276-1: Blitzschutz- u. Erdungsanlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30009,,1000483160,Niederspannungsleitungsanlage,33103,Niederspannungsleitungsanlagen,Elektro,Niederspannungsleitungsanlage,1,Anzahl FI alle UVT: 0,Überspannungsableiter: 1,Unterverteilungen Gesamt: 1,Anzahl UVT ohne USV: 1,Stromkreise 1-ph ohne USV: 20,Stromkreise 3-ph ohne USV: 8,Anzahl UVT mit USV: 0,,,Schnittstelle BuES/GLT: keine,"Sonderbau-Prüfungen: Nein, keine",,,Kostengruppe DIN 276-1: 444,Bezeichn. Kostengr. DIN 276-1: Niederspannungsinstallationsan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30009,,1000483169,"Innenbeleuchtung, ortsfest",3410,Innenbeleuchtungseinrichtungen,Elektro,Innenbel.einr. ortsf. Leuchten,1,,,,Kostengruppe DIN 276-1: 445,Bezeichn. Kostengr. DIN 276-1: Beleuchtungsanlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30009,,1000484240,Elektroheizgeräte,3112,Heizgeräte,Elektro,"Heizgerät, ortsfest",2,,Schnittstelle BuES/GLT: keine,Kostengruppe DIN 276-1: 421,Bezeichn. Kostengr. DIN 276-1: Wärmeerzeugungsanlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30009,1003945059.0,1000513530,Z01_Alsleben,35603,IZS-Komponenten,"BuES, GLT, IZS",Zugangstür,1,,,Kostengruppe DIN 276-1: 456,Bezeichn. Kostengr. DIN 276-1: Gefahrenmelde- u. Alarmanlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30009,1003945059.0,1000519268,L02_Alsleben,35603,IZS-Komponenten,"BuES, GLT, IZS",Kartenleser eines Zugangs,1,Service-ID: 43007,,Kostengruppe DIN 276-1: 456,Bezeichn. Kostengr. DIN 276-1: Gefahrenmelde- u. Alarmanlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30009,,1000567483,Feuerlöscher,39301,Kleinlöschgeräte,Brandschutz,Feuerlöscher,3,,"Sonderbau-Prüfungen: Nein, keine",,Kostengruppe DIN 276-1: 475,Bezeichn. Kostengr. DIN 276-1: Feuerlöschanlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30009,,1003233090,Hand-Notleuchte mit Akku,3450,"Sicherheitsleuchten, einzelne",Elektro,Sicherheitsl.einzel ortsveränd,1,,,,Kostengruppe DIN 276-1: 445,Bezeichn. Kostengr. DIN 276-1: Beleuchtungsanlagen,"Sonderbau-Prüfungen: Nein, keine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30009,,1003505855,GMG-GFM ortsveränderl. elektr. Geräte,33104,Ortsveränderliche elektr. Anschlusseinr.,Elektro,ortsveränderl. elektr. Geräte,1,DGUV V3 ortsv. Geräte: Standard 2J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30009,,1003578293,Verkehrssicherungspflicht,9920,spezielle Tätigkeiten,Haustechn Einricht,Verkehrssicherungspflicht,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30009,,1003589259,GMG Cluster: Leitern und Tritte,9111,Technischer Platz allgemein,Haustechn Einricht,Leitern und Tritte,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30009,,1003945059,LENE37790801_01_Alsleben,35602,IZS-Zutrittskontrollzentrale,"BuES, GLT, IZS",ZKZ-EZS,1,,,,,Kostengruppe DIN 276-1: 456,Bezeichn. Kostengr. DIN 276-1: Gefahrenmelde- u. Alarmanlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
