Gebäude-ID,Anlagentyp,Anlagen-ID,Bauteil der Anlage,Anlagenname,Untergewerk-ID,Untergewerk,AKS-Bezeichnung,Kostengruppe,Kostengruppenbezeichnung,Anzahl,Hinweis Preisermittlung,Merkmale,Verbandsnummer
543,Anlage,54149,,ABL FOL Teeküche 1 4OG,1233,431,Abluftanlage,430,Lufttechnische Anlagen,1.0,,Abluft Volumenstrom:320 m3/h; Antriebsart:Direktantrieb;,431.01.01.000.00.01
543,Anlage,54150,,ABL FOL Teeküche 3 1-3OG,1233,431,Abluftanlage,430,Lufttechnische Anlagen,1.0,,Abluft Volumenstrom:480 m3/h; Antriebsart:Direktantrieb;,431.01.01.000.00.01
543,Anlage,54151,,ABL FOL Teeküche 2 5OG,1233,431,Abluftanlage,430,Lufttechnische Anlagen,1.0,,Abluft Volumenstrom:520 m3/h; Antriebsart:Direktantrieb;,431.01.01.000.00.02
543,Anlage,54152,,ABL FOL WC 1 1-4OG,1233,431,Abluftanlage,430,Lufttechnische Anlagen,1.0,,Abluft Volumenstrom:460 m3/h; Antriebsart:Direktantrieb;,431.01.01.000.00.01
543,Anlage,54153,,ABL FOL WC 2 2-5OG,1233,431,Abluftanlage,430,Lufttechnische Anlagen,1.0,,Abluft Volumenstrom:480 m3/h; Antriebsart:Direktantrieb;,431.01.01.000.00.01
543,Anlage,54154,,ABL FOL WC EG,1233,431,Abluftanlage,430,Lufttechnische Anlagen,,,Abluft Volumenstrom:200 m3/h; Antriebsart:Direktantrieb;,431.01.01.000.00.01
543,Anlage,54155,,Brandschutzklappen (65 Stk.),1654,439,Brandschutzklappe,430,Lufttechnische Anlagen,65.0,,Brandschutzklappen (Auslöseart):;,439.01.01.053.00.00
543,Anlage,54159,,Kältemaschine KWS1,1246,434,Kompressionskältemaschine,430,Lufttechnische Anlagen,1.0,,"Kälteleistung:97,2 kW; Kältemittel:R407C; Kältemittelfüllung:24 kg; Verdichterart:Kolbenverdichter;",434.01.02.000.01.01
543,Anlage,54160,,Splitanlage EDV,1248,434,Splitanlage,430,Lufttechnische Anlagen,1.0,Die Preisermittlung erfolgt über die Bauteile Innen- und Außeneinheiten.,"Kältemittel:R410A; Kältemittelfüllung:2,8 kg; Leckageerkennungssystem:nein;",
543,Bauteil,72292,54160.0,Außeneinheit,1519,434,Splitanlage,430,Lufttechnische Anlagen,1.0,,"Kälteleistung:7,1 kW;",434.01.01.000.01.02
543,Bauteil,72291,54160.0,Inneneinheit,1520,434,Splitanlage,430,Lufttechnische Anlagen,1.0,,"Kälteleistung:7,1 kW;",434.01.01.000.02.02
543,Anlage,54161,,Blitzschutzanlage,1276,446,Blitzschutzanlage,440,Starkstromanlagen,1.0,Bei Äußeren Blitzschutz erfolgt die Preisermittlung ausschließlich über die Bauteile Trennstellen.,Anzahl Ableitungen:; Anzahl Auffangeinrichtungen:; Anzahl Erdungen:; Anzahl Potenzialausgleichsschienen:; Bauart:Äusserer Blitzschutz; Blitzschutzklasse:; Überspannungsschutz:;,
543,Bauteil,72293,54161.0,Trennstellen,1547,446,Blitzschutzanlage,440,Starkstromanlagen,3.0,,Anzahl Trennstellen:3 Stk.;,446.01.01.216.00.00
543,Anlage,54162,,Niederspannungshauptverteiler,1266,443,Niederspannungshauptverteiler,440,Starkstromanlagen,1.0,Die Preisermittlung erfolgt über das Bauteil Stromzähler sowie die angegebene Anzahl der NSHV Felder.,Anschlussleistung:; Anzahl Lasttrennschalter:; Anzahl NSHV Felder:; Anzahl Stromkreise:5 Stk.; Schalter-Typ:; Sicherungsgröße Hausanschluss:; Überspannungsschutz:;,443.01.01.000.01.00
543,Bauteil,54277,54162.0,Stromzähler,1540,443,Niederspannungshauptverteiler,440,Starkstromanlagen,23.0,,Bauart:Balgenzähler; Eichfrist:; Fernauslesung:; GLT Adresse:; Zählernummer:;,443.01.01.002.00.00
543,Anlage,54170,,Sicherheitsbeleuchtungsanlage,1275,445,Sicherheitsbeleuchtungsanlage,440,Starkstromanlagen,1.0,Die Preisermittlung erfolgt über die Bauteile.,,
543,Bauteil,72294,54170.0,Leuchte 1/50,1545,445,Sicherheitsbeleuchtungsanlage,440,Starkstromanlagen,,,Anzahl Leuchten:; Schaltung:; Stromversorgung:Eigenversorgung (Akku); Typ:; zentrale Überwachung :nein;,445.02.01.007.02.00
543,Bauteil,72307,54170.0,Leuchte 10/50,1545,445,Sicherheitsbeleuchtungsanlage,440,Starkstromanlagen,,,Anzahl Leuchten:; Schaltung:; Stromversorgung:Eigenversorgung (Akku); Typ:; zentrale Überwachung :nein;,445.02.01.007.02.00
543,Bauteil,72308,54170.0,Leuchte 11/50,1545,445,Sicherheitsbeleuchtungsanlage,440,Starkstromanlagen,,,Anzahl Leuchten:; Schaltung:; Stromversorgung:Eigenversorgung (Akku); Typ:; zentrale Überwachung :nein;,445.02.01.007.02.00
543,Bauteil,72309,54170.0,Leuchte 12/50,1545,445,Sicherheitsbeleuchtungsanlage,440,Starkstromanlagen,,,Anzahl Leuchten:; Schaltung:; Stromversorgung:Eigenversorgung (Akku); Typ:; zentrale Überwachung :nein;,445.02.01.007.02.00
543,Bauteil,72310,54170.0,Leuchte 13/50,1545,445,Sicherheitsbeleuchtungsanlage,440,Starkstromanlagen,,,Anzahl Leuchten:; Schaltung:; Stromversorgung:Eigenversorgung (Akku); Typ:; zentrale Überwachung :nein;,445.02.01.007.02.00
543,Bauteil,72311,54170.0,Leuchte 14/50,1545,445,Sicherheitsbeleuchtungsanlage,440,Starkstromanlagen,,,Anzahl Leuchten:; Schaltung:; Stromversorgung:Eigenversorgung (Akku); Typ:; zentrale Überwachung :nein;,445.02.01.007.02.00
543,Bauteil,72312,54170.0,Leuchte 15/50,1545,445,Sicherheitsbeleuchtungsanlage,440,Starkstromanlagen,,,Anzahl Leuchten:; Schaltung:; Stromversorgung:Eigenversorgung (Akku); Typ:; zentrale Überwachung :nein;,445.02.01.007.02.00
543,Bauteil,72313,54170.0,Leuchte 16/50,1545,445,Sicherheitsbeleuchtungsanlage,440,Starkstromanlagen,,,Anzahl Leuchten:; Schaltung:; Stromversorgung:Eigenversorgung (Akku); Typ:; zentrale Überwachung :nein;,445.02.01.007.02.00
543,Bauteil,72314,54170.0,Leuchte 18/50,1545,445,Sicherheitsbeleuchtungsanlage,440,Starkstromanlagen,,,Anzahl Leuchten:; Schaltung:; Stromversorgung:Eigenversorgung (Akku); Typ:; zentrale Überwachung :nein;,445.02.01.007.02.00
543,Bauteil,72315,54170.0,Leuchte 19/50,1545,445,Sicherheitsbeleuchtungsanlage,440,Starkstromanlagen,,,Anzahl Leuchten:; Schaltung:; Stromversorgung:Eigenversorgung (Akku); Typ:; zentrale Überwachung :nein;,445.02.01.007.02.00
543,Bauteil,72299,54170.0,Leuchte 2/50,1545,445,Sicherheitsbeleuchtungsanlage,440,Starkstromanlagen,,,Anzahl Leuchten:; Schaltung:; Stromversorgung:Eigenversorgung (Akku); Typ:; zentrale Überwachung :nein;,445.02.01.007.02.00
543,Bauteil,72316,54170.0,Leuchte 20/50,1545,445,Sicherheitsbeleuchtungsanlage,440,Starkstromanlagen,,,Anzahl Leuchten:; Schaltung:; Stromversorgung:Eigenversorgung (Akku); Typ:; zentrale Überwachung :nein;,445.02.01.007.02.00
